areasymbol	musym	muname	MUKEY	dom_cond_order	dom_cond_pct_order	dom_cond_suborder	dom_cond_pct_suborder
WI053	1519A	"Ponycreek-Dawsil complex, 0 to 2 percent slopes"	2498287	Entisols	51	Aquents	51
WI053	1548A	"Majik-Ponycreek complex, lake terrace, 0 to 3 percent slopes"	2561562	Entisols	97	Psamments	67
WI053	1599A	"Ponycreek-Dawsil complex, lake terrace, 0 to 2 percent slopes"	2561560	Entisols	58	Aquents	50
WI053	15A	"Loxley peat, 0 to 1 percent slopes"	2495904	Histosols	98	Saprists	98
WI053	1658A	"Algansee-Kalmarville complex, 0 to 3 percent slopes, frequently flooded"	2505886	Entisols	88	Psamments	58
WI053	1715D2	"Council and Seaton soils, 12 to 20 percent slopes, moderately eroded"	2499060	Alfisols	90	Udalfs	90
WI053	1.72E+05	"Council and Seaton soils, 20 to 30 percent slopes, moderately eroded"	2499151	Alfisols	90	Udalfs	90
WI053	1740C2	"Council-Bilson fine sandy loams, 6 to 12 percent slopes, moderately eroded"	2499058	Alfisols	90	Udalfs	90
WI053	1740D2	"Council-Bilson fine sandy loams, 12 to 20 percent slopes, moderately eroded"	2499059	Alfisols	90	Udalfs	90
WI053	1743F	"Council-Elevasil-Norden complex, 30 to 60 percent slopes"	2501375	Alfisols	93	Udalfs	93
WI053	17A	"Dawsil mucky peat, lake terrace, 0 to 1 percent slopes"	2561559	Histosols	95	Saprists	95
WI053	2013	"Pits, gravel"	2501382		100		100
WI053	2016	"Pits, quarry, soft bedrock"	2501397		100		100
WI053	2019	"Dumps, mine"	2501400		100		100
WI053	2022	"Pits, siliceous sand"	2501407		100		100
WI053	2035	"Udorthents, loamy, very steep"	2501409		100		100
WI053	2050	Landfill	2501411		100		100
WI053	2099	"Psammaquents, nearly level"	2499157		100		100
WI053	213B2	"Hixton silt loam, 2 to 6 percent slopes, moderately eroded"	2498303	Alfisols	98	Udalfs	98
WI053	213C2	"Hixton silt loam, 6 to 12 percent slopes, moderately eroded"	2498304	Alfisols	100	Udalfs	100
WI053	213D2	"Hixton silt loam, 12 to 20 percent slopes, moderately eroded"	2498305	Alfisols	98	Udalfs	98
WI053	218A	"Ironrun sand, 0 to 3 percent slopes"	2499152	Spodosols	95	Aquods	95
WI053	224B	"Elevasil sandy loam, 2 to 6 percent slopes"	2498141	Alfisols	93	Udalfs	93
WI053	224C2	"Elevasil sandy loam, 6 to 12 percent slopes, moderately eroded"	2498148	Alfisols	95	Udalfs	95
WI053	224D2	"Elevasil sandy loam, 12 to 20 percent slopes, moderately eroded"	2498196	Alfisols	94	Udalfs	94
WI053	233C	"Boone sand, 6 to 15 percent slopes"	2498308	Entisols	98	Psamments	98
WI053	254C2	"Norden silt loam, 6 to 12 percent slopes, moderately eroded"	2498327	Alfisols	98	Udalfs	98
WI053	254D2	"Norden silt loam, 12 to 20 percent slopes, moderately eroded"	2498335	Alfisols	94	Udalfs	94
WI053	255C2	"Urne fine sandy loam, 6 to 12 percent slopes, moderately eroded"	2498390	Inceptisols	97	Udepts	97
WI053	255D2	"Urne fine sandy loam, 12 to 20 percent slopes, moderately eroded"	2498393	Inceptisols	97	Udepts	97
WI053	25A	"Dawsil mucky peat, 0 to 1 percent slopes"	2498232	Histosols	95	Saprists	95
WI053	268A	"Kert silt loam, 0 to 3 percent slopes"	2498414	Alfisols	95	Boralfs	90
WI053	286B	"Humbird fine sandy loam, 1 to 6 percent slopes"	2498415	Spodosols	100	Orthods	97
WI053	288A	"Merrillan fine sandy loam, 0 to 3 percent slopes"	2498416	Spodosols	95	Aquods	92
WI053	296B	"Ludington sand, 1 to 6 percent slopes"	2498417	Spodosols	95	Orthods	95
WI053	298A	"Fairchild sand, 0 to 3 percent slopes"	2498419	Spodosols	95	Aquods	92
WI053	299A	"Elm Lake mucky sand, 0 to 2 percent slopes"	2498422	Entisols	90	Aquents	90
WI053	306A	"Whitehall silt loam, 0 to 3 percent slopes, occasionally flooded"	2498423	Mollisols	95	Udolls	95
